"Was misst Degree Centrality eines Knotens?","<blockquote>Die <strong>Anzahl der ein- und ausgehenden Kanten</strong> (Verbundenheit) eines Knotens.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 degree-centrality"
"Wie ist Closeness Centrality \(CC(v)\) definiert?","<blockquote>\(CC(v)=\frac{N-1}{\sum_u \delta(u,v)}\), mit \(\delta(u,v)\) als kürzeste Distanz.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 closeness-centrality"
"Was misst Betweenness Centrality eines Knotens?","<blockquote>Anteil der <strong>kürzesten Pfade</strong> zwischen allen Knotenpaaren, die über den Knoten laufen.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 betweenness-centrality"
"Wie lautet die Formel der Betweenness Centrality \(CB(v)\)?","<blockquote>\(CB(v)=\sum_{i\ne j\ne v}\frac{\sigma_{ij}(v)}{\sigma_{ij}}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 betweenness-centrality"
"Was ist die Grundidee von PageRank?","<blockquote>PageRank ist die <strong>stationäre Besuchswahrscheinlichkeit</strong> eines Random Surfers; Seiten sind wichtig, wenn viele (wichtige) Seiten auf sie verlinken.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Wie lautet die einfache PageRank-Gleichung ohne Dämpfungsfaktor?","<blockquote>\(r_i = \sum_{j \to i} \frac{r_j}{d_j^+}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Wie wird die stochastische Adjazenzmatrix \(M\) für PageRank definiert?","<blockquote>\(M_{ij}=\frac{1}{d_j^+}\) falls \(j\to i\), sonst 0; <strong>Spalten summieren zu 1</strong>.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Welches Gleichungssystem beschreibt PageRank in Matrixform?","<blockquote>\(\mathbf{r}=M\cdot\mathbf{r}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Wie lautet die PageRank-Gleichung mit Dämpfungsfaktor \(\beta\)?","<blockquote>\(r_i = \beta \sum_{j\to i}\frac{r_j}{d_j^+} + \frac{1-\beta}{n}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Wie ist die Google-Matrix \(A\) definiert?","<blockquote>\(A = \beta M + (1-\beta)\cdot\frac{1}{n}\,\mathbf{1}_{n\times n}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Was ist eine Sackgasse (dangling node) im PageRank?","<blockquote>Eine Seite <strong>ohne ausgehende Links</strong>; der Random Surfer kann sie nicht verlassen und Gewichtung „verschwindet“.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank-problems"
"Was ist eine Spider Trap im PageRank?","<blockquote>Eine <strong>Gruppe von Seiten</strong> ohne ausgehende Links nach außen; Gewichtung <strong>konzentriert</strong> sich in der Gruppe.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank-problems"
"Wie behebt der Dämpfungsfaktor \(\beta\) Sackgassen und Spider Traps?","<blockquote>Mit Wahrscheinlichkeit <strong>1-\(\beta\)</strong> erfolgt ein zufälliger Sprung; dadurch bleiben alle Seiten erreichbar.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank-problems"
"Warum führt die einfache PageRank-Gleichung auf ein lineares Gleichungssystem?","<blockquote>Es entstehen <strong>n Gleichungen mit n Unbekannten</strong>, beschrieben durch \(\mathbf{r}=M\mathbf{r}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank"
"Was ist die Idee der Blockmatrix-Repräsentation bei der PageRank-Berechnung?","<blockquote>Partitioniere die spärliche Matrix in <strong>Blöcke</strong>, um Matrix-Vektor-Produkte verteilt (z.B. MapReduce) zu berechnen.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 pagerank blockmatrix"
"Was ist themenspezifischer PageRank?","<blockquote>PageRank mit Teleportation nur zu Seiten einer <strong>Themenmenge S</strong>, um Relevanz nach Thema zu bewerten.</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 topic-specific-pagerank"
"Wie lautet die Formel für themenspezifischen PageRank für i in S?","<blockquote>Für \(i\in S\): \(r_i^{(S)}=\beta\sum_{j\to i}\frac{r_j}{d_j^+}+\frac{1-\beta}{|S|}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 topic-specific-pagerank"
"Wie lautet die Formel für themenspezifischen PageRank für i nicht in S?","<blockquote>Für \(i\notin S\): \(r_i^{(S)}=\beta\sum_{j\to i}\frac{r_j}{d_j^+}\).</blockquote>","week-9 ws-25-26 centrality pagerank graph-data data-mining source::kapitel-9---folien-[updated-22.01 topic-specific-pagerank"
