"<p>Was ist das Ziel von Empfehlungssystemen in der Regel?</p>","<blockquote>Unbekannte Bewertungen zu schätzen, insbesondere die <strong>hohen Bewertungen</strong>, um passende Objekte zu empfehlen.</blockquote>","week-4 ws-25-26 recommendation-systems objective data-mining source::kapitel-4---folien"
"<p>Was ist eine Nutzenmatrix in Empfehlungssystemen?</p>","<blockquote>Eine Matrix aus <strong>Nutzern</strong> (Zeilen), <strong>Objekten</strong> (Spalten) und <strong>Bewertungen</strong> in den Zellen.</blockquote>","week-4 ws-25-26 recommendation-systems utility-matrix data-mining source::kapitel-4---folien"
"<p>Was ist die Idee der inhaltsbasierten Analyse in Empfehlungssystemen?</p>","<blockquote>Empfehle einem Nutzer <strong>ähnliche Objekte</strong>, wenn er bereits ähnliche Objekte <strong>positiv bewertet</strong> hat.</blockquote>","week-4 ws-25-26 content-based recommendation-systems data-mining source::kapitel-4---folien"
"<p>Was ist ein Objektprofil in der inhaltsbasierten Analyse?</p>","<blockquote>Eine <strong>Menge von Merkmalen</strong> eines Objekts (z.&nbsp;B. Schauspieler, Regisseur, Genre).</blockquote>","week-4 ws-25-26 content-based object-profile data-mining source::kapitel-4---folien"
"<p>Wie wird ein Nutzerprofil bei der inhaltsbasierten Analyse typischerweise aufgebaut?</p>","<blockquote>Durch <strong>gewichtete Kombination</strong> der Objektprofile, wobei die Gewichte aus <strong>zentrierten Nutzerbewertungen</strong> stammen.</blockquote>","week-4 ws-25-26 content-based user-profile data-mining source::kapitel-4---folien"
"<p>Welche Ähnlichkeitsmetrik wird in der inhaltsbasierten Analyse häufig genutzt?</p>","<blockquote>Die <strong>Kosinus-Ähnlichkeit</strong> zwischen Nutzerprofil und Objektprofil (Wertebereich \(\([-1,1]\)\)).</blockquote>","week-4 ws-25-26 content-based cosine-similarity data-mining source::kapitel-4---folien"
"<p>Welche typischen Probleme hat die inhaltsbasierte Analyse?</p>","<ul><li>Interessen müssen im <strong>Objektprofil</strong> abbildbar sein.</li><li><strong>Komplexe Zusammenhänge</strong> zwischen Interessen werden schlecht erfasst.</li><li>Merkmale müssen <strong>manuell gewählt</strong> werden (evtl. fehlen wichtige Merkmale).</li></ul>","week-4 ws-25-26 content-based limitations data-mining source::kapitel-4---folien"
"<p>Was ist kollaboratives Filtern (nutzerbasiert)?</p>","<blockquote>Schätze Bewertungen eines Nutzers aus den Bewertungen <strong>ähnlicher Nutzer</strong> (Nutzergruppen mit ähnlichen Präferenzen).</blockquote>","week-4 ws-25-26 collaborative-filtering user-based data-mining source::kapitel-4---folien"
"<p>Was ist kollaboratives Filtern für Objekte (item-based)?</p>","<blockquote>Schätze Bewertungen aus den Bewertungen von <strong>ähnlichen Objekten</strong>, die der Nutzer bereits bewertet hat.</blockquote>","week-4 ws-25-26 collaborative-filtering item-based data-mining source::kapitel-4---folien"
"<p>Welche zwei Schätzvarianten werden beim item-basierten kollaborativen Filtern genannt?</p>","<ul><li><strong>Mittelwert</strong> der Bewertungen der k ähnlichsten Objekte.</li><li><strong>Gewichteter Mittelwert</strong> nach Ähnlichkeit der Objekte.</li></ul>","week-4 ws-25-26 collaborative-filtering item-based estimation data-mining source::kapitel-4---folien"
"<p>Wie wird die Ähnlichkeit zwischen zwei Objekten beim item-basierten kollaborativen Filtern typischerweise berechnet?</p>","<blockquote>Über die <strong>Kosinus-Ähnlichkeit</strong> der Bewertungsvektoren der Objekte; bei zentrierten Bewertungen entspricht sie dem <strong>Pearson-Korrelationskoeffizienten</strong>.</blockquote>","week-4 ws-25-26 collaborative-filtering similarity data-mining source::kapitel-4---folien"
"<p>Nenne je einen Vorteil von kollaborativem Filtern und inhaltsbasierter Analyse.</p>","<ul><li><strong>Kollaboratives Filtern:</strong> Keine manuelle Merkmalsauswahl nötig; verschiedene Nutzerinteressen besser trennbar (item-based).</li><li><strong>Inhaltsbasiert:</strong> Benötigt keine Daten anderer Nutzer und kann neue/unpopuläre Objekte empfehlen; Empfehlungen sind erklärbar über Merkmale.</li></ul>","week-4 ws-25-26 recommendation-systems comparison data-mining source::kapitel-4---folien"
